,batter_name,hho,hho/bbe,hho/pa,hho/ab,hho/hh
89, Manny Machado,134,28.32980972515856,20.9375,23.75886524822695,54.25101214574899
45, Matt Olson,125,26.997840172786177,18.573551263001487,22.123893805309734,55.309734513274336
161, Josh Bell,109,27.250000000000004,19.19014084507042,21.88755020080321,52.40384615384615
57, Josh Donaldson,100,28.49002849002849,18.41620626151013,21.88183807439825,54.054054054054056
108, Nelson Cruz,110,27.77777777777778,18.835616438356166,21.40077821011673,52.88461538461539
150, Juan Soto,107,25.845410628019323,16.36085626911315,21.314741035856574,49.08256880733945
141, Vladimir Guerrero Jr.,127,25.60483870967742,18.19484240687679,21.026490066225165,46.35036496350365
189, DJ LeMahieu,125,24.606299212598426,18.409425625920473,20.938023450586265,56.81818181818182
43, Kyle Tucker,105,24.94061757719715,18.51851851851852,20.75098814229249,52.5
77, Eric Hosmer,105,25.423728813559322,18.58407079646018,20.6286836935167,54.123711340206185
