,batter_name,hho,bbe,hho/bbe,barrels,brl_percent,brl_pa,hh,hh/bbe,ab,hho/pa,pa,ba,est_ba,ba_dif,slg,est_slg,slg_dif,woba,est_woba,woba_dif,hho/hh,barrels/ab,hho/ab
182, Starling Marte,65,371,17.52021563342318,31,8.4,5.9,147,39.6,468,12.357414448669202,526,0.31,0.277,0.0329999999999999,0.458,0.438,0.02,0.364,0.347,0.017,44.21768707482993,6.623931623931624,13.88888888888889
183, Sean Murphy,66,282,23.404255319148938,32,11.3,7.1,120,42.6,393,14.732142857142858,448,0.216,0.24,-0.0239999999999999,0.405,0.441,-0.0359999999999999,0.309,0.337,-0.028,55.00000000000001,8.142493638676845,16.793893129770993
184, Josh Harrison,75,433,17.321016166281755,19,4.4,3.4,141,32.6,505,13.440860215053762,558,0.279,0.278,0.001,0.4,0.42,-0.0199999999999999,0.325,0.333,-0.008,53.191489361702125,3.762376237623762,14.85148514851485
185, Javier Báez,58,321,18.06853582554517,43,13.4,7.9,145,45.2,502,10.603290676416819,547,0.265,0.241,0.024,0.494,0.455,0.0389999999999999,0.344,0.325,0.0189999999999999,40.0,8.565737051792828,11.553784860557768
186, Elias Díaz,52,279,18.63799283154122,22,7.9,5.9,105,37.6,338,14.016172506738545,371,0.246,0.247,-0.001,0.464,0.419,0.045,0.33,0.318,0.012,49.523809523809526,6.508875739644971,15.384615384615385
187, Donovan Solano,44,254,17.322834645669293,19,7.5,5.5,93,36.6,307,12.790697674418606,344,0.28,0.275,0.005,0.404,0.432,-0.0279999999999999,0.324,0.335,-0.011,47.31182795698925,6.188925081433225,14.332247557003258
188, Jean Segura,74,441,16.780045351473923,26,5.9,4.6,165,37.4,515,13.051146384479717,567,0.29,0.266,0.0239999999999999,0.436,0.396,0.0399999999999999,0.338,0.319,0.019,44.84848484848485,5.048543689320388,14.36893203883495
189, DJ LeMahieu,125,508,24.606299212598426,19,3.7,2.8,220,43.5,597,18.409425625920473,679,0.268,0.283,-0.0149999999999999,0.362,0.397,-0.035,0.315,0.34,-0.025,56.81818181818182,3.1825795644891124,20.938023450586265
190, Kyle Farmer,57,392,14.540816326530612,17,4.3,3.2,125,31.9,483,10.775047258979207,529,0.263,0.252,0.011,0.416,0.383,0.0329999999999999,0.316,0.302,0.014,45.6,3.5196687370600417,11.801242236024844
191, Ke'Bryan Hayes,61,277,22.021660649819495,14,5.1,3.5,127,45.8,362,15.404040404040403,396,0.257,0.249,0.008,0.373,0.369,0.004,0.301,0.299,0.002,48.031496062992126,3.867403314917127,16.85082872928177
