,batter_name,hho,bbe,hho/bbe,barrels,brl_percent,brl_pa,hh,hh/bbe,ab,hho/pa,pa,ba,est_ba,ba_dif,slg,est_slg,slg_dif,woba,est_woba,woba_dif,hho/hh,barrels/ab,hho/ab
48, Michael Brantley,90,417,21.58273381294964,24,5.8,4.7,179,42.9,469,17.716535433070867,508,0.311,0.312,-0.001,0.437,0.466,-0.029,0.347,0.361,-0.014,50.27932960893855,5.11727078891258,19.189765458422176
49, Whit Merrifield,89,573,15.532286212914483,20,3.5,2.8,165,28.8,664,12.36111111111111,720,0.277,0.263,0.014,0.395,0.383,0.012,0.306,0.301,0.005,53.939393939393945,3.0120481927710845,13.403614457831326
50, Andrew Benintendi,89,403,22.084367245657567,36,8.9,6.7,174,43.2,493,16.54275092936803,538,0.276,0.261,0.015,0.442,0.456,-0.014,0.328,0.331,-0.003,51.14942528735632,7.302231237322515,18.052738336713997
51, Andrelton Simmons,40,354,11.299435028248588,2,0.6,0.4,77,21.8,412,8.869179600886918,451,0.223,0.23,-0.007,0.274,0.281,-0.007,0.252,0.261,-0.009,51.94805194805194,0.48543689320388345,9.70873786407767
52, Michael A. Taylor,80,346,23.121387283236995,23,6.6,4.4,139,40.2,483,15.151515151515152,528,0.244,0.246,-0.002,0.356,0.39,-0.034,0.286,0.3,-0.014,57.55395683453237,4.761904761904762,16.563146997929607
53, Hunter Dozier,81,339,23.893805309734514,30,8.8,5.5,143,42.2,487,14.917127071823206,543,0.216,0.224,-0.008,0.394,0.388,0.006,0.293,0.299,-0.006,56.64335664335665,6.160164271047227,16.632443531827516
54, Carlos Santana,114,468,24.358974358974358,32,6.8,4.9,196,41.9,566,17.298937784522003,659,0.214,0.244,-0.03,0.342,0.421,-0.0789999999999999,0.294,0.335,-0.041,58.16326530612245,5.6537102473498235,20.141342756183743
55, Miguel Sanó,74,288,25.694444444444443,51,17.7,9.6,161,55.9,470,13.909774436090224,532,0.223,0.216,0.007,0.466,0.439,0.027,0.332,0.322,0.01,45.962732919254655,10.851063829787234,15.74468085106383
56, Max Kepler,83,334,24.850299401197603,36,10.8,7.3,142,42.5,426,16.93877551020408,490,0.211,0.255,-0.044,0.413,0.452,-0.039,0.309,0.347,-0.0379999999999999,58.45070422535211,8.450704225352112,19.483568075117372
57, Josh Donaldson,100,351,28.49002849002849,61,17.4,11.2,185,52.7,457,18.41620626151013,543,0.247,0.269,-0.022,0.475,0.542,-0.067,0.353,0.388,-0.035,54.054054054054056,13.347921225382933,21.88183807439825
58, Salvador Perez,121,454,26.651982378854626,74,16.3,11.1,255,56.2,620,18.195488721804512,665,0.273,0.276,-0.003,0.544,0.565,-0.0209999999999999,0.359,0.374,-0.015,47.45098039215686,11.935483870967742,19.516129032258064
59, Jorge Polanco,85,476,17.857142857142858,48,10.1,7.5,178,37.4,588,13.198757763975156,644,0.269,0.267,0.002,0.503,0.488,0.015,0.349,0.348,0.001,47.752808988764045,8.16326530612245,14.45578231292517
60, Luis Arraez,55,386,14.248704663212436,9,2.3,1.9,118,30.6,429,11.482254697286013,479,0.294,0.295,-0.001,0.376,0.411,-0.0349999999999999,0.321,0.337,-0.016,46.61016949152542,2.097902097902098,12.82051282051282
61, Nicky Lopez,59,438,13.470319634703195,3,0.7,0.5,118,26.9,497,10.442477876106194,565,0.3,0.239,0.061,0.378,0.305,0.073,0.329,0.283,0.046,50.0,0.6036217303822937,11.87122736418511
62, Jackie Bradley Jr.,59,258,22.868217054263564,13,5.0,3.0,104,40.3,387,13.785046728971961,428,0.163,0.194,-0.031,0.261,0.29,-0.0289999999999999,0.224,0.253,-0.0289999999999999,56.730769230769226,3.359173126614987,15.245478036175712
63, Gavin Lux,58,254,22.83464566929134,10,3.9,2.6,102,40.2,336,15.223097112860891,381,0.242,0.26,-0.018,0.364,0.387,-0.023,0.303,0.323,-0.02,56.86274509803921,2.976190476190476,17.261904761904763
64, Chris Taylor,58,344,16.86046511627907,35,10.2,6.0,131,38.1,507,9.965635738831615,582,0.254,0.237,0.017,0.438,0.422,0.016,0.338,0.329,0.009,44.274809160305345,6.903353057199212,11.439842209072978
65, AJ Pollock,64,306,20.915032679738562,34,11.1,8.1,145,47.4,384,15.165876777251185,422,0.297,0.282,0.015,0.536,0.499,0.037,0.375,0.359,0.016,44.13793103448276,8.854166666666668,16.666666666666664
66, Will Smith,74,324,22.839506172839506,35,10.8,7.0,142,43.8,414,14.770459081836327,501,0.258,0.25,0.008,0.495,0.472,0.023,0.364,0.364,0.0,52.112676056338024,8.454106280193237,17.874396135265698
67, Eduardo Escobar,68,426,15.96244131455399,38,8.9,6.3,147,34.5,549,11.352253756260435,599,0.253,0.249,0.004,0.472,0.453,0.0189999999999999,0.334,0.328,0.006,46.25850340136054,6.9216757741347905,12.386156648451731
68, Luis Urías,78,378,20.634920634920633,35,9.3,6.1,153,40.5,490,13.684210526315791,570,0.249,0.241,0.008,0.445,0.427,0.018,0.34,0.333,0.007,50.98039215686274,7.142857142857142,15.918367346938775
69, Avisaíl García,77,345,22.318840579710145,42,12.2,8.2,160,46.4,462,14.951456310679612,515,0.262,0.278,-0.016,0.49,0.514,-0.024,0.346,0.366,-0.02,48.125,9.090909090909092,16.666666666666664
70, Willy Adames,75,342,21.929824561403507,39,11.4,7.0,153,44.7,497,13.513513513513514,555,0.262,0.236,0.026,0.481,0.438,0.0429999999999999,0.349,0.325,0.0239999999999999,49.01960784313725,7.847082494969819,15.090543259557343
